name,spotify_link,apple_music_link
2hollis,https://open.spotify.com/artist/72NhFAGG5Pt91VbheJeEPG,https://music.apple.com/us/artist/2hollis/1535847112
800pts,,https://music.apple.com/us/artist/800pts/1614789807
A$AP Rocky,https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca,https://music.apple.com/us/artist/a%24ap-rocky/481488005
Alicia Keys,https://open.spotify.com/artist/3DiDSECUqqY1AuBP8qtaIa,https://music.apple.com/us/artist/alicia-keys/316069
Bandmanrill,https://open.spotify.com/artist/2SyMN1PdSuQpZgrYXrkai1,https://music.apple.com/us/artist/bandmanrill/1516069210
Benny The Butcher,https://open.spotify.com/artist/5Matrg5du62bXwer29cU5T,https://music.apple.com/gb/artist/benny-the-butcher/1281676587
billy woods,https://open.spotify.com/artist/39vtb2iiz3079nqfL5nfFc,https://music.apple.com/us/artist/billy-woods/18117504
Boldy James,,https://music.apple.com/us/artist/boldy-james/446885417
Chase Fetti,https://open.spotify.com/artist/4aAGG2cCHa15MPo795nJ97?autoplay_ok=1,https://music.apple.com/us/artist/chase-fetti/672702438
Chief Keef,https://open.spotify.com/artist/15iVAtD3s3FsQR4w1v6M0P,https://music.apple.com/us/artist/chief-keef/516663045
Devstacks,https://open.spotify.com/artist/4Ijbgdusp7syatYSHIIulR,https://music.apple.com/us/artist/devstacks/1543581587
FEB PHONZO,https://open.spotify.com/artist/11X6aoqHj1c4bf1Yhp5RvC,
GLC,https://open.spotify.com/artist/2hZ6jVi1cao5VlJHAEPzU7?autoplay_ok=1,https://music.apple.com/us/artist/glc/7476440
ian,https://open.spotify.com/artist/23hzc59PkIUau13dqXx5Ef,https://music.apple.com/us/artist/ian/1699587685
J. Cole,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,https://music.apple.com/us/artist/j-cole/73705833
JAŸ-Z,https://open.spotify.com/artist/3nFkdlSjzX9mRTtwJOzDYB,https://music.apple.com/us/artist/ja%C3%BF-z/1352449404
Jim Jones,https://open.spotify.com/artist/6AMa1VFQ7qCi61tCRtVWXe,https://music.apple.com/us/artist/jim-jones/16668076
Joey Trap,https://open.spotify.com/artist/0qpRQJnULShIWFKhcW5pce,https://music.apple.com/us/artist/joey-trap/1207582692
Kendrick Lamar,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,https://music.apple.com/us/artist/kendrick-lamar/368183298
LD,,https://music.apple.com/us/artist/ld/1436314230
Lil Wayne,https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865,https://music.apple.com/us/artist/lil-wayne/5869117
Lucy Bedroque,,https://music.apple.com/gb/artist/lucy-bedroque/1734729660
Monkey,,https://music.apple.com/us/artist/monkey/625480757
Monkey 67,https://open.spotify.com/artist/23NcybMYAXtCdfT2nvKT6u,
Nathaniel Ozuski,https://open.spotify.com/artist/0mjOymRNYsXHQlqwdVR7TL,https://music.apple.com/us/artist/nathaniel-ozuski/1510061930
NAV,https://open.spotify.com/artist/7rkW85dBwwrJtlHRDkJDAC,https://music.apple.com/us/artist/nav/1200089113
POLO PERKS <3 <3 <3,https://open.spotify.com/artist/4f4Ee5QjHnoeSdlxTaK6rx,https://music.apple.com/us/artist/polo-perks-3-3-3/1352610360
Pop Smoke,https://open.spotify.com/artist/0eDvMgVFoNV3TpwtrVCoTj,https://music.apple.com/us/artist/pop-smoke/1450601383
Premo Rice,https://open.spotify.com/artist/4pTta0pLvML8AM2AwfgJyE?autoplay_ok=1,https://music.apple.com/us/artist/premo-rice/1079131305
Rich Amiri,https://open.spotify.com/artist/2sF5nNXnrrsCPZlt8ZpyGd,https://music.apple.com/us/artist/rich-amiri/1488752057
Roc Marciano,https://open.spotify.com/artist/5X0V59ipZnbvnubW0rQVri?autoplay_ok=1,https://music.apple.com/us/artist/roc-marciano/250063874
Saint Klawd,https://open.spotify.com/artist/5viJfn4xoJ0MRgLcS37EMK,
Shy Glizzy,https://open.spotify.com/artist/1DvtabXAjfrMihPP6JQdHs,https://music.apple.com/us/artist/shy-glizzy/586017294
Skye Morales,https://open.spotify.com/artist/7aqNn14e0HTC6IU6yuGx4p,https://music.apple.com/us/artist/skye-morales/1277925968
Sleek,https://open.spotify.com/artist/6ibLOKmoMCv1CEPrlFXCDs,
Speaker Knockerz,https://open.spotify.com/artist/3KuLo66B73btyQpdXlkqFx,https://music.apple.com/us/artist/speaker-knockerz/545328757
Summrs,https://open.spotify.com/artist/5L15t6I0PQS9SBXbiklPEN,
TOKYO'S REVENGE,https://open.spotify.com/artist/5TbLOwv8BNnik3f03NZJlt,https://music.apple.com/us/artist/tokyos-revenge/1407252045
Trippie Redd,https://open.spotify.com/artist/6Xgp2XMz1fhVYe7i6yNAax,https://music.apple.com/us/artist/trippie-redd/1203172438
Turbo,,https://music.apple.com/us/artist/turbo/1506032549
Westside Gunn,https://open.spotify.com/artist/0ABk515kENDyATUdpCKVfW,https://music.apple.com/us/artist/westside-gunn/829760702
XXXTENTACION,https://open.spotify.com/artist/15UsOTVnJzReFVN1VCnxy4,https://music.apple.com/us/artist/xxxtentacion/1082533559
Young Chop,https://open.spotify.com/artist/5L0n62BVUljSzKMLyMaFHR,https://music.apple.com/us/artist/young-chop/421424889
Yung Fazo,https://open.spotify.com/artist/2UuVqmRzuGdHQB7BKACEW4,https://music.apple.com/us/artist/yung-fazo/1500510384
Zelooperz,https://open.spotify.com/artist/5j93hwFBNo29RJMsWvtzj8,https://music.apple.com/us/artist/zelooperz/694372372
